district,category,urban,family_income,first_gen,parent_grad,cutoff_12th,entrance_score,college_tier,tuition,distance_km,competing_offers,merit_aid_pct,need_aid_pct,total_aid_pct,aid_amount,net_price,enrolled
Coimbatore,SC,1,691000.0,0,1,92.35,145.6,Tier-2 (Affiliated),110000.0,29.8,3,0.443,0.43,0.437,48000.0,62000.0,1
Nagapattinam,MBC,0,686000.0,1,0,77.63,130.7,Tier-3 (Self-financing),91000.0,15.8,0,0.389,0.324,0.357,32500.0,58500.0,1
Cuddalore,BC,1,579000.0,0,1,68.22,104.2,Tier-2 (Affiliated),108000.0,66.9,0,0.292,0.422,0.357,38500.0,69500.0,1
Thanjavur,SC,0,99000.0,0,0,80.98,129.6,Tier-3 (Self-financing),91000.0,31.2,1,0.504,0.457,0.481,43800.0,47200.0,0
Thanjavur,OC,0,1034000.0,1,0,77.28,126.9,Tier-2 (Affiliated),119000.0,19.4,2,0.395,0.389,0.392,46600.0,72400.0,0
Kanyakumari,SC,1,180000.0,1,0,63.93,75.9,Tier-1 (Autonomous),183000.0,203.3,1,0.257,0.506,0.381,69800.0,113200.0,0
Coimbatore,MBC,0,313000.0,0,0,66.99,82.2,Tier-2 (Affiliated),106000.0,13.1,1,0.098,0.581,0.339,35900.0,70100.0,0
Cuddalore,OC,1,547000.0,0,1,94.37,153.0,Tier-2 (Affiliated),121000.0,55.8,1,0.356,0.363,0.359,43500.0,77500.0,0
Salem,OC,1,497000.0,0,1,80.79,120.1,Tier-2 (Affiliated),108000.0,150.9,3,0.256,0.456,0.356,38400.0,69600.0,1
Coimbatore,SC,0,297000.0,0,1,92.82,140.3,Tier-1 (Autonomous),178000.0,34.7,1,0.391,0.502,0.446,79400.0,98600.0,1
Namakkal,BC,0,342000.0,1,0,73.83,126.7,Tier-2 (Affiliated),114000.0,51.0,3,0.33,0.471,0.4,45600.0,68400.0,1
Thoothukudi,SC,1,418000.0,1,0,69.98,97.1,Tier-2 (Affiliated),108000.0,68.2,0,0.258,0.554,0.406,43900.0,64100.0,1
Karur,SC,1,201000.0,0,1,61.17,61.7,Tier-3 (Self-financing),83000.0,28.2,1,0.244,0.504,0.374,31100.0,51900.0,0
Nagapattinam,MBC,0,236000.0,0,0,87.68,165.1,Tier-3 (Self-financing),82000.0,58.5,1,0.47,0.419,0.445,36400.0,45600.0,0
Karur,BC,1,316000.0,0,0,82.11,149.5,Tier-3 (Self-financing),84000.0,8.3,3,0.46,0.519,0.49,41100.0,42900.0,1
Nagapattinam,SC,1,282000.0,0,0,73.92,136.2,Tier-2 (Affiliated),112000.0,22.3,4,0.381,0.637,0.509,57000.0,55000.0,0
