state_residency,is_in_state,urban_centric_locale,student_aid_index,adjusted_gross_income,first_gen,pell_eligible,hs_gpa,sat_act_percentile,institutional_tier,cost_of_attendance,miles_from_campus,fafsa_submitted_month,fafsa_month_sin,fafsa_month_cos,demonstrated_interest,merit_scholarship_amt,need_grant_amt,total_aid_package,net_price,enrolled,net_price_to_income_ratio,financial_aid_discount_rate,unmet_financial_need_gap,engagement_velocity
CO,0,Suburb,47307.0,206264.0,0,0,3.61,70.0,Regional Comprehensive,50454.0,169.8,5,0.5,-0.866,40.0,22292.0,820.0,23112.0,27342.0,1,0.1326,0.4581,0.0,0.2286
OH,1,City,3408.0,28634.0,0,1,3.82,93.0,Community College,18794.0,10.3,9,-1.0,-0.0,48.4,1404.0,8103.0,9507.0,9287.0,1,0.3243,0.5059,5879.0,0.047
OR,0,Suburb,4787.0,35389.0,0,1,3.14,65.0,R1 Research,84829.0,82.8,8,-0.866,-0.5,20.8,23787.0,33635.0,57422.0,27407.0,1,0.7744,0.6769,22620.0,0.0079
IN,0,City,10077.0,40054.0,1,0,2.37,41.0,Regional Comprehensive,53197.0,64.8,3,1.0,0.0,70.1,15334.0,6499.0,21833.0,31364.0,0,0.783,0.4104,21287.0,0.0759
CA,0,City,16174.0,46827.0,0,0,2.12,32.0,Community College,20468.0,45.0,5,0.5,-0.866,57.7,2764.0,803.0,3567.0,16901.0,0,0.3609,0.1743,727.0,0.0775
NH,0,Suburb,11362.0,62235.0,0,0,2.65,32.0,Regional Comprehensive,45873.0,131.5,4,0.866,-0.5,61.0,10551.0,5119.0,15670.0,30203.0,0,0.4853,0.3416,18841.0,0.0617
CO,0,Suburb,31726.0,125514.0,0,0,3.13,42.0,Liberal Arts College,66788.0,15.0,2,0.866,0.5,90.1,22774.0,6046.0,28820.0,37968.0,1,0.3025,0.4315,6242.0,0.1048
MN,0,Rural,13473.0,87747.0,0,0,2.95,51.0,Liberal Arts College,83462.0,91.0,2,0.866,0.5,41.3,28168.0,16177.0,44345.0,39117.0,1,0.4458,0.5313,25644.0,0.1
TX,0,Town,10312.0,65763.0,1,0,2.09,27.0,Regional Comprehensive,43637.0,115.2,7,-0.5,-0.866,63.8,8529.0,4792.0,13321.0,30316.0,0,0.461,0.3053,20004.0,0.137
GA,0,Rural,13464.0,76837.0,0,0,3.21,64.0,Community College,22527.0,30.4,7,-0.5,-0.866,36.9,4276.0,1588.0,5864.0,16663.0,0,0.2169,0.2603,3199.0,0.1169
PA,0,Town,21448.0,98644.0,1,0,3.07,33.0,Regional Comprehensive,38497.0,620.6,7,-0.5,-0.866,84.3,12632.0,3832.0,16464.0,22033.0,1,0.2234,0.4277,585.0,0.0545
AR,0,Town,3121.0,18754.0,1,1,3.68,82.0,Regional Comprehensive,42060.0,67.9,2,0.866,0.5,47.4,18808.0,19515.0,38323.0,3737.0,0,0.1993,0.9112,616.0,0.0714
MA,0,City,34625.0,136154.0,0,0,3.21,50.0,Liberal Arts College,86510.0,98.7,4,0.866,-0.5,94.2,29851.0,12285.0,42136.0,44374.0,0,0.3259,0.4871,9749.0,0.0752
AL,0,Suburb,11406.0,34717.0,0,0,2.08,20.0,R2 Doctoral,66462.0,68.0,1,0.5,0.866,45.4,7838.0,12424.0,20262.0,46200.0,0,1.3308,0.3049,34794.0,0.0365
OH,1,City,14503.0,45737.0,1,0,3.09,71.0,Community College,20868.0,33.7,7,-0.5,-0.866,67.0,3636.0,1047.0,4683.0,16185.0,1,0.3539,0.2244,1682.0,0.1029
FL,0,City,15591.0,80428.0,0,0,3.75,51.0,R1 Research,83733.0,500.4,2,0.866,0.5,71.1,21935.0,16991.0,38926.0,44807.0,0,0.5571,0.4649,29216.0,0.0916
NJ,0,City,7523.0,59618.0,0,1,3.72,99.0,Community College,19529.0,1700.2,2,0.866,0.5,77.5,665.0,4199.0,4864.0,14665.0,0,0.246,0.2491,7142.0,0.1263
CA,0,Town,20823.0,89374.0,0,0,2.63,27.0,Regional Comprehensive,52819.0,277.2,2,0.866,0.5,42.6,10401.0,7861.0,18262.0,34557.0,1,0.3867,0.3457,13734.0,0.0458
LA,0,Town,20810.0,69711.0,0,0,3.49,87.0,Liberal Arts College,79828.0,397.1,1,0.5,0.866,41.4,36883.0,11256.0,48139.0,31689.0,0,0.4546,0.603,10879.0,0.0504
AZ,0,Rural,9997.0,51107.0,1,0,3.27,76.0,Community College,20395.0,768.2,3,1.0,0.0,56.6,2510.0,2103.0,4613.0,15782.0,0,0.3088,0.2262,5785.0,0.1667
WI,0,Rural,46825.0,189228.0,0,0,2.89,47.0,Community College,19643.0,164.5,4,0.866,-0.5,72.6,1471.0,0.0,1471.0,18172.0,1,0.096,0.0749,0.0,0.038
PA,0,Rural,17678.0,104800.0,0,0,3.21,69.0,Community College,18473.0,658.9,1,0.5,0.866,62.9,2689.0,130.0,2819.0,15654.0,1,0.1494,0.1526,0.0,0.0783
HI,0,City,10718.0,78239.0,0,0,3.42,62.0,Liberal Arts College,81823.0,291.2,3,1.0,0.0,80.4,31664.0,15997.0,47661.0,34162.0,0,0.4366,0.5825,23444.0,0.0938
UT,0,Rural,20022.0,103633.0,0,0,3.01,33.0,Regional Comprehensive,46389.0,147.4,12,-0.0,1.0,37.9,15337.0,6626.0,21963.0,24426.0,1,0.2357,0.4735,4404.0,0.0357
